ID;city;lat;lng;admin;capital;patrim;nomeavel
93;Aljustrel;37,877594;-8,165159;Beja;minor;Nao;Nao
94;Esposende;41,536098;-8,782011;Braga;minor;Nao;Nao
95;Alcochete;38,755335;-8,960861;Setubal;minor;Nao;Nao
96;Sever do Vouga;40,734588;-8,367219;Aveiro;minor;Nao;Nao
97;Sesimbra;38,444513;-9,101236;Setubal;minor;Nao;Nao
98;Sao Pedro do Sul;40,75537;-8,072646;Viseu;minor;Nao;Nao
99;Lourinha;39,233333;-9,316667;Lisboa;minor;Nao;Nao
100;Santa Comba Dao;40,398559;-8,131601;Viseu;minor;Nao;Nao
101;Entroncamento;39,466667;-8,466667;Santarem;minor;Nao;Nao
102;Armamar;41,107646;-7,691386;Viseu;minor;Nao;Nao
103;Arcos de Valdevez;41,848912;-8,410905;Viana do Castelo;minor;Nao;Nao
104;Pacos de Ferreira;41,276571;-8,376174;Porto;minor;Nao;Nao
105;Fafe;41,454227;-8,167998;Braga;minor;Nao;Nao
106;Ponte de Sor;39,249642;-8,010086;Portalegre;minor;Nao;Nao
107;Moimenta da Beira;40,983828;-7,617653;Viseu;minor;Nao;Nao
108;Santa Marta de Penaguiao;41,211161;-7,800111;Vila Real;minor;Nao;Nao
109;Murca;41,405997;-7,454846;Vila Real;minor;Nao;Nao
110;Sernancelhe;40,898706;-7,493419;Viseu;minor;Nao;Nao
111;Vila Real;41,30062;-7,744129;Vila Real;admin;Nao;Nao
112;Vinhais;41,835094;-7,005007;Braganca;minor;Nao;Nao
113;Alcacer do Sal;38,373258;-8,514436;Setubal;minor;Nao;Nao
114;Ourem;39,641675;-8,591899;Santarem;minor;Nao;Nao
115;Vila Nova de Gaia;41,133633;-8,617421;Porto;minor;Nao;Nao
116;Castelo de Vide;39,414713;-7,454021;Portalegre;minor;Nao;Nao
117;Vila Nova da Barquinha;39,45;-8,433333;Santarem;minor;Nao;Nao
118;Loule;37,137722;-8,019684;Faro;minor;Nao;Nao
119;Lamego;41,097407;-7,809907;Viseu;minor;Nao;Nao
120;Alvaiazere;39,822559;-8,379994;Leiria;minor;Nao;Nao
121;Satao;40,741775;-7,732855;Viseu;minor;Nao;Nao
122;Albergaria-a-Velha;40,693185;-8,479936;Aveiro;minor;Nao;Nao
123;Matosinhos;41,18207;-8,689076;Porto;minor;Nao;Sim
124;Alandroal;38,702005;-7,403094;evora;minor;Nao;Nao
125;Proenca-a-Nova;39,752204;-7,923903;Castelo Branco;minor;Nao;Nao
126;Lagoa;37,135349;-8,453188;Faro;minor;Nao;Nao
127;Montijo;38,706747;-8,973885;Setubal;minor;Nao;Nao
128;Felgueiras;41,368058;-8,193961;Porto;minor;Nao;Nao
129;Nazare;39,602891;-9,068355;Leiria;minor;Nao;Nao
130;Miranda do Corvo;40,09318;-8,332608;Coimbra;minor;Nao;Nao
131;Penedono;40,988749;-7,393859;Viseu;minor;Nao;Nao
132;Vale de Cambra;40,849701;-8,393892;Aveiro;minor;Nao;Nao
133;Vila Flor;41,309043;-7,153784;Braganca;minor;Nao;Nao
134;Figueiro dos Vinhos;39,904132;-8,275107;Leiria;minor;Nao;Nao
135;Santiago do Cacem;38,016935;-8,69475;Setubal;minor;Nao;Nao
136;Trofa;41,322784;-8,572016;Porto;minor;Nao;Nao
137;Penafiel;41,208348;-8,282847;Porto;minor;Nao;Nao
138;Penacova;40,268837;-8,282374;Coimbra;minor;Nao;Nao
139;Pedrogao Grande;39,918345;-8,1459;Leiria;minor;Nao;Nao
140;Oleiros;39,918934;-7,913698;Castelo Branco;minor;Nao;Nao
141;Sousel;38,952894;-7,675286;Portalegre;minor;Nao;Nao
142;Arraiolos;38,723626;-7,984777;evora;minor;Nao;Nao
143;Poiares;40,210256;-8,257464;Coimbra;minor;Nao;Nao
144;Famalicao;41,407967;-8,51978;Braga;minor;Nao;Nao
145;Vila Verde;41,647294;-8,43715;Braga;minor;Nao;Nao
146;Terras de Bouro;41,717691;-8,30888;Braga;minor;Nao;Nao
147;Manteigas;40,402799;-7,539769;Guarda;minor;Nao;Nao
148;Sintra;38,800971;-9,378257;Lisboa;minor;sim;Nao
149;Vizela;41,390962;-8,263888;Braga;minor;Nao;Nao
150;Vila Velha de Rodao;39,666667;-7,7;Castelo Branco;minor;Nao;Nao
151;Benavente;38,979192;-8,807591;Santarem;minor;Nao;Nao
152;Maia;41,235739;-8,619897;Porto;minor;Nao;Nao
153;Santo Tirso;41,342567;-8,477456;Porto;minor;Nao;Nao
154;Oeiras;38,691049;-9,310847;Lisboa;minor;Nao;Nao
155;Celorico de Basto;41,387141;-8,00101;Braga;minor;Nao;Nao
156;Bombarral;39,267231;-9,157952;Leiria;minor;Nao;Nao
157;Barreiro;38,663137;-9,072395;Setubal;minor;Nao;Nao
158;Belmonte;40,359303;-7,34869;Castelo Branco;minor;Nao;Nao
159;Montemor-o-Velho;40,172873;-8,686162;Coimbra;minor;Nao;Nao
160;Espinho;41,007628;-8,641251;Aveiro;minor;Nao;Nao
161;Oliveira do Hospital;40,361796;-7,86014;Coimbra;minor;Nao;Nao
162;Oliveira de Frades;40,733567;-8,174807;Viseu;minor;Nao;Nao
163;Oliveira de Azemeis;40,84101;-8,475554;Aveiro;minor;Nao;Sim
164;Oliveira do Bairro;40,514596;-8,493858;Aveiro;minor;Nao;Nao
165;Viana do Alentejo;38,33458;-8,004399;evora;minor;Nao;Nao
166;Carrazeda de Anciaes;41,242466;-7,307206;Braganca;minor;Nao;Nao
167;Ovar;40,861753;-8,626014;Aveiro;minor;Nao;Sim
168;Torres Novas;39,481143;-8,539493;Santarem;minor;Nao;Nao
169;Torres Vedras;39,091089;-9,258602;Lisboa;minor;Nao;Nao
170;Cartaxo;39,160221;-8,787408;Santarem;minor;Nao;Nao
171;Mangualde;40,604248;-7,76115;Viseu;minor;Nao;Nao
172;Vila Nova de Paiva;40,852907;-7,727911;Viseu;minor;Nao;Nao
173;Paredes;41,204853;-8,33147;Porto;minor;Nao;Nao
174;Vidigueira;38,209949;-7,800504;Beja;minor;Nao;Nao
175;Chamusca;39,35722;-8,48151;Santarem;minor;Nao;Nao
176;Trofa;41,487817;-7,961286;Braga;minor;Nao;Nao
177;Macedo de Cavaleiros;41,538161;-6,9611;Braganca;minor;Nao;Nao
178;Resende;41,105822;-7,966497;Viseu;minor;Nao;Nao
179;Povoa de Lanhoso;41,577713;-8,268468;Braga;minor;Nao;Nao
180;Feira;40,925348;-8,542769;Aveiro;minor;Nao;Nao
181;Azambuja;39,07029;-8,86822;Lisboa;minor;Nao;Nao
182;Vieira do Minho;41,632923;-8,142521;Braga;minor;Nao;Nao
183;Batalha;39,660252;-8,824751;Leiria;minor;Sim;Nao
184;Alcanena;39,459005;-8,668924;Santarem;minor;Nao;Nao
185;Palmela;38,569021;-8,901255;Setubal;minor;Nao;Nao
186;Ferreira do Zezere;39,694064;-8,292131;Santarem;minor;Nao;Nao
187;Arouca;40,930568;-8,24488;Aveiro;minor;Nao;Nao
188;Vila de Rei;39,67604;-8,145768;Castelo Branco;minor;Nao;Nao
189;Tomar;39,601987;-8,409242;Santarem;minor;sim;Nao
190;Tondela;40,516815;-8,080866;Viseu;minor;Nao;Nao
191;Constancia;39,466667;-8,333333;Santarem;minor;Nao;Nao
192;Vila Pouca de Aguiar;41,500176;-7,64383;Vila Real;minor;Nao;Nao
193;Almada;38,679018;-9,156904;Setubal;minor;Nao;Nao
194;Almeida;40,725672;-6,906137;Guarda;minor;Nao;Nao
195;Alvito;38,256109;-7,991584;Beja;minor;Nao;Nao
196;Soure;40,05989;-8,626053;Coimbra;minor;Nao;Nao
197;Alenquer;39,053151;-9,009282;Lisboa;minor;Nao;Nao
198;Mertola;37,643041;-7,661104;Beja;minor;Nao;Nao
199;Mesao Frio;41,163167;-7,873534;Vila Real;minor;Nao;Nao
200;Mourao;38,383562;-7,341888;evora;minor;Nao;Nao
201;Valpacos;41,607461;-7,310876;Vila Real;minor;Nao;Nao
202;Pombal;39,916738;-8,628474;Leiria;minor;Nao;Nao
203;Mogadouro;41,340203;-6,711347;Braganca;minor;Nao;Nao
204;Povoa de Varzim;41,38344;-8,763637;Porto;minor;Nao;Sim
205;Baiao;41,162735;-8,034704;Porto;minor;Nao;Nao
